Type of Property,Floor Size,Levies,Rates and Taxes,Pets Allowed,Lounge,Garage,Garden,price,Erf Size,Kitchen,Pool,Dining Room,Parking,Bathroom,Bedroom
0.0,380.0,1932.0,1151.0,1,1.0,3.0,1.0,2999000,1.0,0.0,0.0,1.0,3.0,3.0,1.0
0.0,314.0,1932.0,3098.0,1,0.0,0.0,1.0,3600000,2.0,0.0,1.0,1.0,6.0,3.0,1.0
2.0,103.0,1570.0,450.0,1,1.0,2.0,1.0,860000,9102.0,0.0,0.0,1.0,1.0,3.0,1.0
0.0,800.0,1932.0,2367.0,1,0.0,4.0,1.0,6500000,1.1,0.0,1.0,1.0,1.0,3.0,1.0
0.0,282.0,1932.0,1151.0,1,0.0,0.0,0.0,1350000,9102.0,0.0,0.0,0.0,0.0,3.0,1.0
0.0,282.0,1932.0,1151.0,1,1.0,2.0,0.0,890000,555.0,0.0,0.0,1.0,1.0,3.0,1.0
2.0,82.0,3000.0,455.0,0,1.0,0.0,0.0,1350000,9102.0,0.0,1.0,0.0,1.0,3.0,1.0
2.0,282.0,1585.0,430.0,1,1.0,2.0,0.0,1350000,123.0,0.0,0.0,0.0,2.0,3.0,1.0
0.0,282.0,1932.0,960.0,1,0.0,0.0,1.0,2999000,918.0,1.0,0.0,1.0,0.0,3.0,1.0
1.0,282.0,1932.0,1151.0,1,0.0,1.0,0.0,1350000,9102.0,0.0,0.0,0.0,0.0,3.0,1.0
0.0,282.0,1932.0,1380.0,1,1.0,3.0,1.0,1850000,1.0,0.0,1.0,0.0,0.0,3.0,1.0
0.0,300.0,1932.0,232.0,1,1.0,0.0,1.0,990000,1.0,0.0,1.0,1.0,2.0,3.0,1.0
0.0,282.0,1932.0,1151.0,1,0.0,0.0,0.0,860000,300.0,1.0,0.0,0.0,0.0,3.0,1.0
1.0,45.0,1100.0,605.0,1,1.0,0.0,0.0,1095000,9102.0,1.0,1.0,1.0,1.0,3.0,1.0
